tx_id	ERR9871746	ERR9871747	ERR9871748	ERR9871749	gene_id	prop_ERR9871746	prop_ERR9871747	prop_ERR9871748	prop_ERR9871749	prop_mean	prop_sd	prop_max	prop_min	prop_range
XM_071177232.1	1427	0	1552.628	627	LOC107442412	0.99999999999993	0	0.878680249009571	0.99999999999984	0.719670062252335	0.483176636435007	0.99999999999993	0	0.99999999999993
XM_043044466.2	0	0	1389	0	LOC107449306	0	0	0.999999999999928	0	0.249999999999982	0.499999999999964	0.999999999999928	0	0.999999999999928
XM_043043161.2	874	336	1275	0	LOC107438554	0.999999999999886	0.999999999999702	0.999999999999922	0	0.749999999999877	0.499999999999918	0.999999999999922	0	0.999999999999922
XM_016068979.3	1254	0	127.785	0	LOC107452495	0.99999999999992	0	0.0819660038486156	0	0.270491500962134	0.487871505424587	0.99999999999992	0	0.99999999999992
XM_071180825.1	1207	0	207.523	0	LOC107457063	0.999999999999917	0	0.128338280766844	0	0.28208457019169	0.482418868947274	0.999999999999917	0	0.999999999999917
XM_043054336.2	361.899	153.335	1194.216	0	LOC107439500	0.503953378265401	0.56574917905746	0.999999999999916	0	0.517425639330694	0.40952166085244	0.999999999999916	0	0.999999999999916
XM_071177937.1	1125	0	521.442	0	LOC107446349	0.999999999999911	0	0.384828044280414	0	0.346207011070081	0.472107136713759	0.999999999999911	0	0.999999999999911
XM_071177946.1	946	354	0	520	LOC107449306	0.999999999999894	0.999999999999718	0	0.999999999999808	0.749999999999855	0.499999999999903	0.999999999999894	0	0.999999999999894
XM_016055768.3	567	0	841	320	LOC107442251	0.999999999999824	0	0.999999999999881	0.999999999999688	0.749999999999848	0.499999999999899	0.999999999999881	0	0.999999999999881
XM_043040168.2	760	312	151.399	0	LOC107436484	0.999999999999868	0.999999999999679	0.195353296318302	0	0.548838324079463	0.527025896412472	0.999999999999868	0	0.999999999999868
XM_016072995.3	760	0	0	0	LOC107455433	0.999999999999868	0	0	0	0.249999999999967	0.499999999999934	0.999999999999868	0	0.999999999999868
XM_043049034.2	546	0	756	285	LOC107440473	0.999999999999817	0	0.999999999999868	0.999999999999649	0.749999999999833	0.499999999999889	0.999999999999868	0	0.999999999999868
XM_016053898.3	113.962	0	730	268	LOC107440840	0.237916492693061	0	0.999999999999863	0.999999999999627	0.559479123173138	0.517859923282997	0.999999999999863	0	0.999999999999863
XM_016055794.3	280.835	0	629	213	LOC107442273	0.670250596658551	0	0.999999999999841	0.999999999999531	0.667562649164481	0.471407926705343	0.999999999999841	0	0.999999999999841
XM_016068980.3	0	431	1431.215	607	LOC107452495	0	0.999999999999768	0.91803399615132	0.999999999999835	0.729508499037731	0.487871505424545	0.999999999999835	0	0.999999999999835
XM_016065571.3	359.5	141	540	0	LOC107449891	0.862110311750393	0.999999999999291	0.999999999999815	0	0.715527577937375	0.481426813568746	0.999999999999815	0	0.999999999999815
XM_043043133.2	0	527	214.372	0	LOC107442412	0	0.99999999999981	0.121319750990372	0	0.280329937747546	0.483176636434964	0.99999999999981	0	0.99999999999981
XM_043048659.2	0	427	833.558	506	LOC107446349	0	0.999999999999766	0.615171955719512	0.999999999999802	0.65379298892977	0.472107136713697	0.999999999999802	0	0.999999999999802
XM_071179395.1	237.425	0	471	220	LOC107442396	0.723856707316853	0	0.999999999999788	0.999999999999545	0.680964176829046	0.472270999966622	0.999999999999788	0	0.999999999999788
XM_043043160.2	0	0	0	469	LOC107438554	0	0	0	0.999999999999787	0.249999999999947	0.499999999999893	0.999999999999787	0	0.999999999999787
XM_071178059.1	461.29	164.339	0	0	LOC110282887	0.999999999999783	0.999999999999392	0	0	0.499999999999794	0.577350269189388	0.999999999999783	0	0.999999999999783
XM_043054335.2	356.221	117.695	0	438.323	LOC107439500	0.49604662173446	0.434250820942171	0	0.999999999999772	0.482574360669101	0.409521660852389	0.999999999999772	0	0.999999999999772
XM_043039401.2	415.849	0	1024.516	410	LOC107437356	0.460009955752161	0	0.954814538676519	0.999999999999756	0.603706123607109	0.470969081765029	0.999999999999756	0	0.999999999999756
XM_016061243.3	406	144	255.955	0	LOC107446561	0.999999999999754	0.999999999999306	0.408873801916868	0	0.602218450478982	0.488709026416486	0.999999999999754	0	0.999999999999754
XM_043039408.2	488.151	393	48.484	0	LOC107437356	0.539990044247728	0.999999999999746	0.0451854613233881	0	0.396293876392715	0.470969081765	0.999999999999746	0	0.999999999999746
XM_043051876.2	0	270	490.566	369	LOC107455433	0	0.99999999999963	0.530341621621564	0.999999999999729	0.632585405405231	0.47630699312387	0.999999999999729	0	0.999999999999729
XM_016048353.4	0	0	357	153	LOC107436588	0	0	0.99999999999972	0.999999999999347	0.499999999999767	0.577350269189356	0.99999999999972	0	0.99999999999972
XM_016063024.3	231	0	355	145	LOC107447968	0.999999999999567	0	0.999999999999718	0.99999999999931	0.749999999999649	0.499999999999766	0.999999999999718	0	0.999999999999718
XM_043044762.2	349	115	150.219	0	LOC107438763	0.999999999999713	0.99999999999913	0.457984756097421	0	0.614496189024066	0.482813894965371	0.999999999999713	0	0.999999999999713
XM_016073445.3	0	215	786.904	345	LOC107455755	0	0.999999999999535	0.940148148148036	0.99999999999971	0.73503703703682	0.490836278610699	0.99999999999971	0	0.99999999999971
XM_021147617.3	0	0	342	114	LOC107446337	0	0	0.999999999999708	0.999999999999123	0.499999999999708	0.577350269189288	0.999999999999708	0	0.999999999999708
XM_043049018.2	0	86	332	0	LOC107441436	0	0.999999999998837	0.999999999999699	0	0.499999999999634	0.577350269189203	0.999999999999699	0	0.999999999999699
XM_043045246.2	0	84.775	459.722	322	LOC107457370	0	0.236142719060433	0.55723878787872	0.999999999999689	0.448345376734711	0.432906511510134	0.999999999999689	0	0.999999999999689
XM_043046926.2	0	0	311	0	LOC107445743	0	0	0.999999999999678	0	0.24999999999992	0.499999999999839	0.999999999999678	0	0.999999999999678
XM_043054110.2	0	0	292	0	LOC107441030	0	0	0.999999999999658	0	0.249999999999914	0.499999999999829	0.999999999999658	0	0.999999999999658
XM_016052853.4	132	0	285	114	LOC107440070	0.999999999999242	0	0.999999999999649	0.999999999999123	0.749999999999504	0.499999999999669	0.999999999999649	0	0.999999999999649
XM_016069556.3	218	112	265	0	LOC107452897	0.999999999999541	0.999999999999107	0.999999999999623	0	0.749999999999568	0.499999999999712	0.999999999999623	0	0.999999999999623
XM_071177262.1	0	0	263	0	LOC107437287	0	0	0.99999999999962	0	0.249999999999905	0.49999999999981	0.99999999999962	0	0.99999999999962
XR_011636637.1	0	258	0	0	LOC107442251	0	0.999999999999612	0	0	0.249999999999903	0.499999999999806	0.999999999999612	0	0.999999999999612
XM_016051477.2	0	0	257	83	LOC107439020	0	0	0.999999999999611	0.999999999998795	0.499999999999602	0.577350269189166	0.999999999999611	0	0.999999999999611
XM_016048352.4	251	100	0	0	LOC107436588	0.999999999999602	0.999999999999	0	0	0.49999999999965	0.577350269189222	0.999999999999602	0	0.999999999999602
XM_071187490.1	250	82	0	0	LOC107446337	0.9999999999996	0.99999999999878	0	0	0.499999999999595	0.577350269189158	0.9999999999996	0	0.9999999999996
XM_043040393.2	0	0	190.371	246	LOC107436403	0	0	0.337537234042493	0.999999999999594	0.334384308510522	0.471409206971327	0.999999999999594	0	0.999999999999594
XM_016060997.3	155	0	245	92	LOC107446372	0.999999999999355	0	0.999999999999592	0.999999999998913	0.749999999999465	0.499999999999643	0.999999999999592	0	0.999999999999592
XM_016050396.3	147.024	228	0	64.589	LOC107438181	0.250040816326488	0.999999999999561	0	0.177442307692259	0.356870781004577	0.441429180823767	0.999999999999561	0	0.999999999999561
XM_016053032.3	630.303	226	0	0	LOC107440184	0.972688313752452	0.999999999999558	0	0	0.493172078438002	0.569575210107283	0.999999999999558	0	0.999999999999558
XM_043038838.2	226	80.083	0	80.414	LOC107443458	0.999999999999558	0.880032967032	0	0.562335664335271	0.610592157841707	0.446985566349549	0.999999999999558	0	0.999999999999558
XM_043046195.2	226	0	100.074	146.988	LOC107445643	0.999999999999558	0	0.225900677200852	0.816599999999546	0.510625169299989	0.474311578981443	0.999999999999558	0	0.999999999999558
XM_043043210.2	64	0	225	95	LOC107444534	0.999999999998437	0	0.999999999999556	0.999999999998947	0.749999999999235	0.49999999999949	0.999999999999556	0	0.999999999999556
XM_043049274.2	0	0	370.045	225	LOC107446561	0	0	0.591126198082973	0.999999999999556	0.397781549520632	0.488709026416538	0.999999999999556	0	0.999999999999556
XM_043049015.2	216	0	0	100	LOC107441436	0.999999999999537	0	0	0.999999999999	0.499999999999634	0.577350269189204	0.999999999999537	0	0.999999999999537
XM_071182843.1	365.038	212	0	0	LOC107440840	0.76208350730673	0.999999999999528	0	0	0.440520876826565	0.517859923282929	0.999999999999528	0	0.999999999999528
XM_016065562.3	57.5	0	0	202	LOC107449891	0.137889688249367	0	0	0.999999999999505	0.284472422062218	0.481426813568701	0.999999999999505	0	0.999999999999505
XM_043047804.2	0	0	0	202	LOC107452286	0	0	0	0.999999999999505	0.249999999999876	0.499999999999753	0.999999999999505	0	0.999999999999505
XM_016064385.3	201	83	85.427	0	LOC107448994	0.999999999999503	0.999999999998795	0.296621527777675	0	0.574155381943993	0.506414428532188	0.999999999999503	0	0.999999999999503
XM_071178984.1	0	197	162.069	47.034	LOC107451488	0	0.999999999999492	0.217542281879165	0.172286345371165	0.347457156812456	0.445009859787679	0.999999999999492	0	0.999999999999492
NM_001323829.1	0	0	0	189	LOC107452541	0	0	0	0.999999999999471	0.249999999999868	0.499999999999735	0.999999999999471	0	0.999999999999471
XM_043045091.2	185	58	0	60.104	LOC107452103	0.99999999999946	0.999999999998276	0	0.589254901960207	0.647313725489486	0.472990874701016	0.99999999999946	0	0.99999999999946
XM_043040996.2	183	61	0	0	LOC107440901	0.999999999999454	0.999999999998361	0	0	0.499999999999454	0.577350269188995	0.999999999999454	0	0.999999999999454
XM_043049035.2	0	180	0	0	LOC107440473	0	0.999999999999445	0	0	0.249999999999861	0.499999999999722	0.999999999999445	0	0.999999999999445
XM_071182087.1	179	55	26.598	0	LOC122271459	0.999999999999441	0.999999999998182	0.143772972972895	0	0.53594324324263	0.5390516449726	0.999999999999441	0	0.999999999999441
XM_071178380.1	174	66	0	13.345	LOC107456799	0.999999999999425	0.999999999998485	0	0.606590909088152	0.651647727271516	0.472360557608163	0.999999999999425	0	0.999999999999425
XM_043040060.2	174	0	134	0	LOC107453663	0.999999999999425	0	0.999999999999254	0	0.49999999999967	0.577350269189244	0.999999999999425	0	0.999999999999425
XM_071178737.1	98	0	171	0	LOC107456293	0.99999999999898	0	0.999999999999415	0	0.499999999999599	0.577350269189162	0.999999999999415	0	0.999999999999415
XM_043054109.2	170	58	0	96	LOC107441030	0.999999999999412	0.999999999998276	0	0.999999999998958	0.749999999999161	0.499999999999441	0.999999999999412	0	0.999999999999412
XM_043047156.2	169	54	0	0	LOC107455365	0.999999999999408	0.999999999998148	0	0	0.499999999999389	0.57735026918892	0.999999999999408	0	0.999999999999408
XM_071177259.1	166	63	0	35.169	LOC107437287	0.999999999999398	0.999999999998413	0	0.281351999999775	0.570337999999396	0.509253444081382	0.999999999999398	0	0.999999999999398
XM_043046951.2	48	0	164	60	LOC107455284	0.999999999997917	0	0.99999999999939	0.999999999998333	0.74999999999891	0.499999999999273	0.99999999999939	0	0.99999999999939
XM_016053981.3	0	0	164	70	LOC107440901	0	0	0.99999999999939	0.999999999998571	0.49999999999949	0.577350269189037	0.99999999999939	0	0.99999999999939
XM_071178052.1	0	0	162.485	0	LOC107446785	0	0	0.999999999999385	0	0.249999999999846	0.499999999999692	0.999999999999385	0	0.999999999999385
XM_071183299.1	0	0	162	75	LOC107441673	0	0	0.999999999999383	0.999999999998667	0.499999999999512	0.577350269189063	0.999999999999383	0	0.999999999999383
XM_016069781.3	0	0	161	74	LOC107453093	0	0	0.999999999999379	0.999999999998649	0.499999999999507	0.577350269189056	0.999999999999379	0	0.999999999999379
