p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.16135117137678	0.531	0.086	0	0	LOC107450632
0	2.05499174553465	0.61	0.193	0	0	LOC107451820
0	3.23701748672436	0.512	0.103	0	0	LOC107440397
0	1.88470136070824	0.628	0.228	0	0	LOC107436282
0	1.41164091715021	0.795	0.401	0	0	LOC107451685
0	1.46493461556913	0.822	0.462	0	0	LOC107449700
0	2.41669592885277	0.454	0.095	0	0	LOC107444068
0	2.76620642697053	0.451	0.099	0	0	LOC107447219
0	1.53608746714284	0.605	0.259	0	0	LOC107449813
0	3.71101840908095	0.346	0.037	0	0	LOC107443592
0	1.88929661308927	0.437	0.144	0	0	LOC107447376
0	2.39686972524376	0.263	0.051	0	0	LOC107453438
1.85836984167811e-312	1.86918940689811	0.518	0.219	2.1592399190458e-308	0	LOC107441771
5.38113124138116e-302	1.88397720168567	0.435	0.156	6.25233638936077e-298	0	LOC107446048
1.16802232815025e-297	2.04939560419501	0.333	0.093	1.35712514307777e-293	0	LOC107449860
6.29938863517702e-289	1.49731900885689	0.428	0.147	7.31925965521218e-285	0	LOC107436728
1.78362657365265e-251	1.63812674572807	0.44	0.175	2.07239571592701e-247	0	LOC107453771
6.58309032297171e-251	1.25209308826611	0.64	0.336	7.64889264626083e-247	0	LOC110282721
1.89599492213927e-249	1.12033069991052	0.696	0.4	2.20295650003362e-245	0	LOC107439560
2.65410176058574e-240	1.07461341276894	0.731	0.457	3.08380083562458e-236	0	LOC107436358
2.10333654351206e-234	1.03386053444342	0.685	0.384	2.44386672990667e-230	0	LOC107436894
1.11093901642141e-230	1.35187515704752	0.443	0.177	1.29080004318004e-226	0	LOC107436679
4.36900111162781e-227	1.68042709417035	0.371	0.136	5.07634239160036e-223	0	LOC107453510
8.70488659954611e-218	1.18762605148822	0.499	0.228	1.01142077400126e-213	0	LOC107437740
8.14986030260659e-216	0.929848746432098	0.736	0.453	9.4693226855986e-212	0	LOC107457539
1.56156045709686e-210	1.74970175241783	0.38	0.152	1.81437709510084e-206	0	LOC107438015
3.16091244549209e-206	1.25984221684351	0.56	0.302	3.67266417041726e-202	0	LOC107436350
8.51074127374965e-194	1.1675822488993	0.567	0.314	9.88863028596972e-190	0	LOC107448298
7.66063335917625e-174	1.43711492074427	0.358	0.148	8.90088990002689e-170	0	LOC107447872
3.95518713307677e-173	0.975891020609048	0.623	0.371	4.5955319299219e-169	0	LOC107453499
1.53940736258474e-166	1.06605377808287	0.564	0.32	1.78863741458721e-162	0	LOC107446842
3.34083878823527e-163	1.76455122510347	0.256	0.088	3.88172058805055e-159	0	LOC107445627
1.4517546993211e-157	1.37817424121361	0.337	0.14	1.68679378514119e-153	0	LOC107436573
4.12457768942089e-152	1.0862383433616	0.53	0.303	4.79234681733814e-148	0	LOC107456521
9.40385981797467e-152	1.18293410913097	0.44	0.222	1.09263447225048e-147	0	LOC107450518
2.08830661762032e-151	1.47638874387884	0.284	0.108	2.42640345901305e-147	0	LOC107440268
7.24834756511383e-151	1.57947058671272	0.402	0.201	8.42185503590576e-147	0	LOC139425129
6.03980914634923e-135	1.45368076967898	0.281	0.113	7.01765424714316e-131	0	LOC107447205
1.83930948353861e-130	1.44900037267694	0.328	0.147	2.13709368892351e-126	0	LOC107444121
1.57917916415605e-129	1.32489796144858	0.327	0.148	1.83484827083292e-125	0	LOC107446595
7.74909684467494e-129	1.24286688441491	0.377	0.188	9.00367562382781e-125	0	LOC107451797
2.56223183945272e-126	1.47941245418903	0.411	0.225	2.97705717426012e-122	0	LOC107454132
3.36873021754222e-123	1.40699292832357	0.366	0.19	3.9141276397623e-119	0	LOC107444341
1.18642023005261e-122	1.09493596723699	0.418	0.224	1.37850166529813e-118	0	LOC107448616
2.70538089148221e-122	0.892256720138339	0.559	0.352	3.14338205781318e-118	0	LOC107451127
1.00065872028901e-120	1.09004178411591	0.547	0.363	1.1626653671038e-116	0	LOC107438772
1.70655604577666e-115	1.13289373134426	0.393	0.207	1.9828474695879e-111	0	LOC107445534
1.7658743543901e-106	0.910325646781407	0.295	0.133	2.05176941236585e-102	0	LOC107442127
