gene_id	n_transcripts
LOC107444790	50
LOC107452333	50
LOC107455144	50
LOC107455843	50
LOC107456393	48
LOC107445952	41
LOC107436216	40
LOC107450600	40
LOC107452604	38
LOC107453060	35
LOC107455746	34
LOC107443488	33
LOC107452081	33
LOC107456224	33
LOC107449365	32
LOC107444895	31
LOC107454643	31
LOC107446763	30
LOC107453194	30
LOC107457063	30
LOC107437335	28
LOC107440114	28
LOC107456607	28
LOC107437615	27
LOC107443784	27
LOC107452311	27
LOC107451236	26
LOC107448298	25
LOC107442217	24
LOC107446870	24
LOC107450601	24
LOC107456745	24
LOC107436654	23
LOC107445351	23
LOC107452993	23
LOC107453710	23
LOC122271333	23
LOC107436881	22
LOC107450274	22
LOC107450753	22
LOC107451974	22
LOC107453796	22
LOC107456085	22
LOC107437419	21
LOC107442702	21
LOC107449053	21
LOC107453525	21
LOC107454811	21
LOC107449585	20
LOC107455963	20
LOC107442127	19
LOC107451471	19
LOC107452693	19
LOC107456351	19
LOC122269970	19
LOC107436894	18
LOC107437528	18
LOC107441077	18
LOC107442576	18
LOC107447618	18
LOC107450465	18
LOC107453214	18
LOC107436498	17
LOC107436679	17
LOC107439580	17
LOC107442860	17
LOC107448102	17
LOC107451625	17
LOC107451792	17
LOC107452304	17
LOC107454390	17
LOC107439393	16
LOC107439517	16
LOC107443092	16
LOC107447641	16
LOC107453494	16
LOC107456573	16
LOC122268373	16
LOC107436735	15
LOC107438973	15
LOC107439180	15
LOC107441724	15
LOC107442328	15
LOC107442885	15
LOC107443290	15
LOC107443630	15
LOC107444702	15
LOC107445917	15
LOC107449188	15
LOC107449224	15
LOC107452184	15
LOC107437816	14
LOC107443091	14
LOC107445501	14
LOC107446425	14
LOC107446674	14
LOC107448675	14
LOC107448748	14
LOC107448880	14
LOC107449699	14
LOC107451338	14
LOC107451910	14
LOC107453536	14
LOC107454046	14
LOC107454565	14
LOC107456545	14
LOC107456997	14
LOC107439288	13
LOC107441179	13
LOC107442438	13
LOC107442970	13
LOC107446127	13
LOC107446520	13
LOC107447376	13
LOC107448147	13
LOC107448369	13
LOC107449691	13
LOC107450690	13
LOC107453665	13
LOC107454057	13
LOC107454240	13
LOC107456799	13
LOC107436145	12
LOC107436389	12
LOC107436420	12
LOC107436661	12
LOC107437287	12
LOC107438159	12
LOC107438736	12
LOC107438853	12
LOC107439298	12
LOC107440941	12
LOC107440943	12
LOC107442082	12
LOC107442197	12
LOC107444485	12
LOC107444578	12
LOC107445852	12
LOC107446727	12
LOC107447892	12
LOC107450900	12
LOC107451816	12
LOC107453246	12
LOC107453670	12
LOC107453992	12
LOC107455003	12
LOC107455391	12
LOC107456149	12
LOC107456505	12
LOC107456769	12
LOC107456951	12
LOC107457025	12
LOC107457578	12
LOC110281931	12
LOC107436973	11
LOC107437190	11
LOC107437386	11
LOC107437569	11
LOC107437663	11
LOC107437896	11
LOC107438583	11
LOC107440090	11
LOC107440780	11
LOC107444027	11
LOC107444585	11
LOC107445081	11
LOC107445872	11
LOC107445992	11
LOC107446884	11
LOC107446947	11
LOC107447980	11
LOC107448764	11
LOC107448774	11
LOC107448828	11
LOC107450118	11
LOC107451143	11
LOC107451483	11
LOC107452250	11
LOC107452822	11
LOC107453029	11
LOC107453040	11
LOC107454281	11
LOC107454977	11
LOC107455015	11
LOC107456523	11
LOC107456648	11
LOC107457035	11
LOC122269557	11
LOC122273032	11
LOC107436172	10
LOC107436332	10
LOC107436381	10
LOC107436625	10
LOC107436775	10
LOC107437061	10
LOC107437698	10
LOC107438834	10
LOC107439844	10
LOC107440123	10
LOC107440902	10
LOC107441410	10
LOC107442335	10
LOC107442660	10
LOC107442698	10
LOC107443017	10
LOC107443600	10
LOC107443623	10
LOC107443665	10
LOC107443695	10
LOC107443779	10
LOC107444174	10
LOC107445477	10
LOC107445628	10
LOC107445682	10
LOC107445799	10
LOC107446023	10
LOC107446422	10
LOC107446443	10
LOC107446663	10
LOC107446668	10
LOC107447362	10
LOC107448198	10
LOC107448922	10
LOC107449700	10
LOC107449895	10
LOC107450223	10
LOC107451019	10
LOC107451211	10
LOC107451346	10
LOC107451752	10
LOC107451797	10
LOC107451802	10
LOC107451983	10
LOC107452342	10
LOC107452386	10
LOC107452791	10
LOC107452885	10
LOC107453091	10
LOC107453403	10
LOC107453875	10
LOC107454143	10
LOC107454684	10
LOC107455737	10
LOC107455971	10
LOC107456840	10
LOC110282118	10
LOC122269028	10
LOC107436177	9
LOC107436358	9
LOC107436484	9
LOC107436769	9
LOC107437029	9
LOC107437350	9
LOC107437358	9
LOC107437533	9
LOC107438197	9
LOC107438257	9
LOC107438641	9
LOC107439384	9
LOC107439464	9
LOC107439640	9
LOC107441332	9
LOC107441525	9
LOC107442123	9
LOC107442223	9
LOC107443336	9
LOC107443893	9
LOC107444215	9
LOC107444337	9
LOC107444539	9
LOC107444543	9
LOC107444553	9
LOC107444712	9
LOC107444808	9
LOC107445069	9
LOC107445231	9
LOC107445255	9
LOC107445688	9
LOC107446842	9
LOC107447690	9
LOC107447707	9
LOC107447713	9
LOC107447798	9
LOC107447961	9
LOC107447993	9
LOC107448097	9
LOC107448161	9
LOC107448402	9
LOC107448785	9
LOC107448920	9
LOC107449370	9
LOC107449379	9
LOC107449406	9
LOC107450092	9
LOC107450541	9
LOC107450641	9
LOC107450715	9
LOC107451227	9
LOC107451639	9
LOC107451716	9
LOC107451801	9
LOC107452087	9
LOC107452357	9
LOC107452551	9
LOC107452636	9
LOC107452712	9
LOC107453074	9
LOC107453288	9
LOC107453731	9
LOC107453995	9
LOC107454103	9
LOC107454168	9
LOC107454192	9
LOC107454807	9
LOC107455119	9
LOC107456278	9
LOC107457111	9
LOC122269977	9
CtB	8
LOC107436296	8
LOC107436595	8
LOC107436757	8
LOC107436762	8
LOC107437110	8
LOC107437619	8
LOC107438145	8
LOC107438158	8
LOC107438209	8
LOC107438772	8
LOC107439002	8
LOC107439061	8
LOC107439113	8
LOC107439465	8
LOC107439518	8
LOC107439607	8
LOC107440008	8
LOC107440313	8
LOC107440397	8
LOC107440424	8
LOC107440485	8
LOC107440643	8
LOC107440726	8
LOC107440758	8
LOC107440981	8
LOC107441256	8
LOC107441284	8
LOC107441320	8
LOC107441484	8
LOC107441522	8
LOC107441620	8
LOC107441696	8
LOC107441775	8
LOC107441825	8
LOC107442476	8
LOC107442650	8
LOC107442870	8
LOC107443002	8
LOC107443101	8
LOC107443345	8
LOC107443592	8
LOC107443775	8
LOC107443882	8
LOC107443911	8
LOC107444026	8
LOC107444464	8
LOC107444977	8
LOC107445506	8
LOC107445534	8
LOC107445721	8
LOC107446082	8
LOC107446094	8
LOC107446990	8
LOC107447394	8
LOC107447499	8
LOC107447736	8
LOC107447759	8
LOC107447991	8
LOC107448148	8
LOC107448272	8
LOC107448368	8
LOC107448514	8
LOC107448715	8
LOC107448853	8
LOC107449157	8
LOC107449516	8
LOC107449882	8
LOC107449987	8
LOC107450161	8
LOC107450234	8
LOC107450383	8
LOC107450669	8
LOC107450792	8
LOC107451237	8
LOC107452018	8
LOC107452219	8
LOC107453191	8
LOC107453350	8
LOC107453359	8
LOC107453362	8
LOC107453463	8
LOC107453612	8
LOC107453667	8
LOC107453844	8
LOC107454277	8
LOC107454397	8
LOC107454518	8
LOC107454542	8
LOC107455365	8
LOC107455471	8
LOC107455557	8
LOC107455733	8
LOC107456143	8
LOC107456207	8
LOC107456296	8
LOC107456618	8
LOC107456709	8
LOC107456924	8
LOC107457022	8
LOC107457581	8
LOC110282887	8
LOC122269677	8
LOC122272286	8
LOC122272712	8
LOC139426736	8
CRM	7
LOC107436403	7
LOC107436825	7
LOC107436993	7
LOC107437002	7
LOC107437044	7
LOC107437917	7
LOC107437970	7
LOC107438011	7
LOC107438013	7
LOC107438020	7
LOC107438056	7
LOC107438242	7
LOC107438302	7
LOC107438550	7
LOC107438554	7
LOC107438560	7
LOC107438704	7
LOC107438879	7
LOC107438926	7
LOC107438957	7
LOC107438989	7
LOC107439046	7
LOC107439463	7
LOC107439483	7
LOC107439779	7
LOC107439791	7
LOC107439947	7
LOC107439989	7
LOC107440069	7
LOC107440113	7
LOC107440144	7
LOC107440157	7
LOC107440173	7
LOC107440460	7
LOC107440983	7
LOC107440988	7
LOC107441187	7
LOC107441537	7
LOC107441698	7
LOC107441762	7
LOC107442038	7
LOC107442162	7
LOC107442473	7
LOC107442573	7
LOC107442615	7
LOC107442766	7
LOC107443004	7
LOC107443255	7
LOC107443362	7
LOC107443373	7
LOC107443419	7
LOC107443495	7
LOC107443760	7
LOC107443768	7
LOC107443783	7
LOC107443943	7
LOC107444168	7
LOC107444740	7
LOC107444788	7
LOC107444950	7
LOC107445009	7
LOC107445372	7
LOC107445416	7
LOC107445451	7
LOC107445518	7
LOC107445592	7
LOC107445650	7
LOC107445676	7
LOC107445775	7
LOC107445918	7
LOC107446168	7
LOC107446399	7
LOC107446550	7
LOC107446576	7
LOC107446777	7
LOC107446848	7
LOC107446979	7
LOC107446997	7
LOC107447235	7
LOC107447250	7
LOC107447606	7
LOC107447632	7
LOC107448001	7
LOC107448205	7
LOC107448318	7
LOC107448645	7
LOC107448687	7
LOC107448763	7
LOC107448783	7
LOC107448900	7
LOC107449120	7
LOC107449294	7
LOC107449442	7
LOC107449479	7
